"","Vars","CBG","CT","C"
"MEDFI","MEDFI",-0.279633693494956,-0.307702913985962,-0.301459064785828
"INCDIS","INCDIS",0.14482723618802,0.170858962261127,0.313595516984306
"BELPL","BELPL",0.0848804158798347,0.048371663504132,-0.0848923265429355
"PL150","PL150",0.183853695042712,0.224000999490426,0.182418133350508
"EDU9YR","EDU9YR",0.0652990448758857,0.0586873591233786,0.0546518490974799
"HSDPNHIGH","HSDPNHIGH",-0.135113290741027,-0.0910986762172025,-0.0688108314284709
"EMPWC","EMPWC",-0.103647117317026,-0.129235389837947,-0.0691359072602934
"UNEMP","UNEMP",0.0226567839824466,0.0187142499145948,0.0131470202568478
"MEDHV","MEDHV",-0.0333240131993556,-0.0196111171598343,-0.0786026934809245
"MEDRNT","MEDRNT",-0.0657638175435329,-0.035773977192073,-0.0551201997277537
"MEDMORT","MEDMORT",-0.0493304243593994,-0.00226761848336236,0.0189524785615526
"OWN","OWN",0.0050150202425821,0.0446601587521215,0.0506383901228461
"SNGPNT","SNGPNT",0.0354959088623882,0.044898669801582,0.0550130235890487
"NOVEH","NOVEH",0.0254226897825745,0.0148463020638332,-0.023657407558531
"NOINT","NOINT",0.0588266041373165,0.0573841587203359,0.0942117584358247
"NOPLUM","NOPLUM",0.0139503719501861,0.00960358931227729,0.0158552165576001
"CROWD","CROWD",0.0257735789764105,0.0182338812739116,0.043986065155285
